
              -- N E S T --
  Copyright (C) 2004 The NEST Initiative

 Version: 3.9.0-post0.dev0
 Built: Jan 15 2026 10:38:56

 This program is provided AS IS and comes with
 NO WARRANTY. See the file LICENSE for details.

 Problems or suggestions?
   Visit https://www.nest-simulator.org

 Type 'nest.help()' to find out more about NEST.



[   7% ] Model time: 128.5 ms, Real-time factor: 0.3201
[   7% ] Model time: 129.0 ms, Real-time factor: 0.3202
[   7% ] Model time: 129.5 ms, Real-time factor: 0.3203
[   7% ] Model time: 130.0 ms, Real-time factor: 0.3206
[   7% ] Model time: 130.5 ms, Real-time factor: 0.3207
[   7% ] Model time: 131.0 ms, Real-time factor: 0.3208
[   7% ] Model time: 131.5 ms, Real-time factor: 0.3209
[   7% ] Model time: 132.0 ms, Real-time factor: 0.3210
[   7% ] Model time: 132.5 ms, Real-time factor: 0.3212
[   7% ] Model time: 133.0 ms, Real-time factor: 0.3213
[   7% ] Model time: 133.5 ms, Real-time factor: 0.3214
[   7% ] Model time: 134.0 ms, Real-time factor: 0.3215
[   7% ] Model time: 134.5 ms, Real-time factor: 0.3216
[   7% ] Model time: 135.0 ms, Real-time factor: 0.3217
[   7% ] Model time: 135.5 ms, Real-time factor: 0.3219
[   7% ] Model time: 136.0 ms, Real-time factor: 0.3220
[   7% ] Model time: 136.5 ms, Real-time factor: 0.3221
[   7% ] Model time: 137.0 ms, Real-time factor: 0.3222
[   7% ] Model time: 137.5 ms, Real-time factor: 0.3223
[   7% ] Model time: 138.0 ms, Real-time factor: 0.3225
[   7% ] Model time: 138.5 ms, Real-time factor: 0.3226
[   7% ] Model time: 139.0 ms, Real-time factor: 0.3227
[   7% ] Model time: 139.5 ms, Real-time factor: 0.3228
[   7% ] Model time: 140.0 ms, Real-time factor: 0.3228
[   8% ] Model time: 140.5 ms, Real-time factor: 0.3230
[   8% ] Model time: 141.0 ms, Real-time factor: 0.3231
[   8% ] Model time: 141.5 ms, Real-time factor: 0.3232
[   8% ] Model time: 142.0 ms, Real-time factor: 0.3233
[   8% ] Model time: 142.5 ms, Real-time factor: 0.3234
[   8% ] Model time: 143.0 ms, Real-time factor: 0.3235
[   8% ] Model time: 143.5 ms, Real-time factor: 0.3237
[   8% ] Model time: 144.0 ms, Real-time factor: 0.3237
[   8% ] Model time: 144.5 ms, Real-time factor: 0.3238
[   8% ] Model time: 145.0 ms, Real-time factor: 0.3238
[   8% ] Model time: 145.5 ms, Real-time factor: 0.3240
[   8% ] Model time: 146.0 ms, Real-time factor: 0.3243
[   8% ] Model time: 146.5 ms, Real-time factor: 0.3246
[   8% ] Model time: 147.0 ms, Real-time factor: 0.3248
[   8% ] Model time: 147.5 ms, Real-time factor: 0.3248
[   8% ] Model time: 148.0 ms, Real-time factor: 0.3249
[   8% ] Model time: 148.5 ms, Real-time factor: 0.3251
[   8% ] Model time: 149.0 ms, Real-time factor: 0.3252
[   8% ] Model time: 149.5 ms, Real-time factor: 0.3253
[   8% ] Model time: 150.0 ms, Real-time factor: 0.3253
